#,name,profile_url,location,answers,badge,picture_url
236,Dale Schwartz,https://www.eb5investors.com/directories/immigration-attorneys/dale-schwartz/,"Atlanta, Georgia",721 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/516cc95d0baf5a0b04f55d8ae4212944.jpg
237,Daniel A Zeft,https://www.eb5investors.com/directories/immigration-attorneys/law-offices-of-daniel-a-zeft/,"Chicago, Illinois",541 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/d63036cfba56a5c3cb75ab14b33fe677.jpg
238,Vaughan de Kirby,https://www.eb5investors.com/directories/immigration-attorneys/vaughan-de-kirby/,"San Francisco, California",520 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/f0f072c0dbbe1e8b36afffba199afa23.jpg
239,Reza Rahbaran,https://www.eb5investors.com/directories/immigration-attorneys/reza-rahbaran/,"Washington, District of Columbia",491 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/a7e272202d38f212dcdc3978bcb70a6f.jpg
240,Ed Beshara,https://www.eb5investors.com/directories/immigration-attorneys/ed-beshara/,"Maitland, Florida",1382 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/fe998b49c41c4208c968bce204fa1cbb.jpg
241,Belma Demirovic Chinchoy,https://www.eb5investors.com/directories/immigration-attorneys/belma-demirovic-chinchoy/,"Beverly Hills, California",1236 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/c86038fe04bc7097e218b4fd6b767f4b.jpg
242,Stephen Berman,https://www.eb5investors.com/directories/immigration-attorneys/stephen-berman/,"Milwaukee, Wisconsin",1127 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/1f3a9b29cfa4d79d22eff2553c4aaadf.jpg
243,John J Downey,https://www.eb5investors.com/directories/immigration-attorneys/john-j-downey/,"Quincy, Massachusetts",936 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/5fb37d5bbdbbae16dea2f3104d7f9439.jpg
244,Dale Schwartz,https://www.eb5investors.com/directories/immigration-attorneys/dale-schwartz/,"Atlanta, Georgia",721 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/516cc95d0baf5a0b04f55d8ae4212944.jpg
245,Daniel A Zeft,https://www.eb5investors.com/directories/immigration-attorneys/law-offices-of-daniel-a-zeft/,"Chicago, Illinois",541 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/d63036cfba56a5c3cb75ab14b33fe677.jpg
246,Vaughan de Kirby,https://www.eb5investors.com/directories/immigration-attorneys/vaughan-de-kirby/,"San Francisco, California",520 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/f0f072c0dbbe1e8b36afffba199afa23.jpg
247,Reza Rahbaran,https://www.eb5investors.com/directories/immigration-attorneys/reza-rahbaran/,"Washington, District of Columbia",491 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/a7e272202d38f212dcdc3978bcb70a6f.jpg
248,Ed Beshara,https://www.eb5investors.com/directories/immigration-attorneys/ed-beshara/,"Maitland, Florida",1382 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/fe998b49c41c4208c968bce204fa1cbb.jpg
249,Belma Demirovic Chinchoy,https://www.eb5investors.com/directories/immigration-attorneys/belma-demirovic-chinchoy/,"Beverly Hills, California",1236 Answers,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/c86038fe04bc7097e218b4fd6b767f4b.jpg
